1 IRM 'Zhuk' engineer reconnaissance vehicle: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
1 MDK-3 trench-digging vehicle: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
6 RKhM 'Kashalot': 2 destroyed, 1 damaged, 0 abandoned, 3 captured
15 BTS-4A armoured recovery vehicle: 10 destroyed, 0 damaged, 3 abandoned, 2 captured
12 BREM-1 armoured recovery vehicle: 7 destroyed, 2 damaged, 2 abandoned, 1 captured
60 AVLB: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
3 M88A1 armoured recovery vehicle: 2 destroyed, 0 damaged, 0 abandoned, 1 captured
1 M88A2armoured recovery vehicle: 0 destroyed, 0 damaged, 1 abandoned, 0 captured
1150 Assault Breacher: 2 destroyed, 0 damaged, 1 abandoned, 0 captured
3 Bergepanzer 2 armoured recovery vehicle: 2 destroyed, 1 damaged, 0 abandoned, 0 captured
2 Bergepanzer 3 armoured recovery vehicle: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
1 Ural-4320 KET-L recovery vehicle: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
9 M1132 Stryker Engineering Squad Vehicle: 9 destroyed, 0 damaged, 0 abandoned, 0 captured
58 MICLIC mine clearing system: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
5 MTO-AT mobile workshop: 3 destroyed, 0 damaged, 0 abandoned, 2 captured
2 PTS-2 tracked amphibious transport: 1 destroyed, 0 damaged, 0 abandoned, 1 captured
1 TMM-3M1 bridge layer: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
9 EOV-4421 excavator: 8 destroyed, 0 damaged, 0 abandoned, 1 captured
4561 excavator: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 KrAZ-255B with KS-3575 crane: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 KrAZ-6322 Master mobile workshop: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
4 GMZ-3 minelayer: 1 destroyed, 1 damaged, 0 abandoned, 2 captured
3 PZM-2 trench-digging vehicle: 2 destroyed, 1 damaged, 0 abandoned, 0 captured
1 UMP-350 engine heater: 0 destroyed, 0 damaged, 0 abandoned, 1 captured
3 ARS-14 decontamination degassing vehicle: 0 destroyed, 0 damaged, 0 abandoned, 3 captured
8 KT-L recovery vehicle: 6 destroyed, 0 damaged, 0 abandoned, 2 captured
2 BMK-460 towing motor boat: 0 destroyed, 2 damaged, 0 abandoned, 0 captured
3 TDA-M mobile smoke generator: 3 destroyed, 0 damaged, 0 abandoned, 0 captured
1 AK-04-9A 'Porosha' airfield air conditioner based on KamAZ-5320: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
36 River link pontoon (for PMP(-M) floating bridge system): 27 destroyed, 8 damaged, 0 abandoned, 1 captured
14 KrAZ-255 (for PMP floating bridge system): 10 destroyed, 2 damaged, 0 abandoned, 2 captured
1 BGM-1 drilling rig: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
1 THeMIS UGV: 1 destroyed, 0 damaged, 0 abandoned, 0 captured
15 9P148 Konkurs ATGM carrier: 6 destroyed, 0 damaged, 1 abandoned, 8 captured
3 9P149 Shturm-S ATGM carrier: 1 destroyed, 0 damaged, 0 abandoned, 2 captured
2 1V13 battery command forward observer vehicle: 2 destroyed, 0 damaged, 0 abandoned, 0 captured
8 1V14 battery command forward observer vehicle: 7 destroyed, 0 damaged, 0 abandoned, 1 captured
4 1V15 battery command forward observer vehicle: 0 destroyed, 0 damaged, 0 abandoned, 4 captured
